Position	aMin	aMean
1	-100	-100
2	-100	-100
3	-100	-100
4	-100	-100
5	-100	-100
6	-100	-100
7	-100	-100
8	-100	-100
9	-100	-100
10	-100	-100
11	-100	-100
12	-100	-100
13	-100	-100
14	-100	-100
15	-100	-100
16	-100	-100
17	-100	-100
18	-100	-100
19	-100	-100
20	-100	-100
21	-100	-100
22	-100	-100
23	-100	-100
24	-100	-100
25	-100	-100
26	-100	-100
27	-100	-100
28	-100	-100
29	-100	-100
30	-100	-100
31	-100	-100
32	-100	-100
33	-100	-100
34	-100	-100
35	-100	-100
36	-100	-100
37	-100	-100
38	-100	-100
39	-100	-100
40	-100	-100
41	-100	-100
42	-100	-100
43	-100	-100
44	-100	-100
45	-100	-100
46	-100	-100
47	-100	-100
48	-100	-100
49	-100	-100
50	-100	-100
51	-100	-100
52	-100	-100
53	-100	-100
54	-100	-100
55	-100	-100
56	-100	-100
57	-100	-100
58	39	39
59	-100	-100
60	-100	-100
61	-100	-100
62	-100	-100
63	-100	-100
64	-100	-100
65	-100	-100
66	-100	-100
67	-100	-100
68	-100	-100
69	0	0
70	-100	-100
71	-100	-100
72	-100	-100
73	-100	-100
74	-100	-100
75	6.2	18
76	0	0
77	-100	-100
78	-100	-100
79	10.6	11.5
80	18.5	18.5
81	-100	-100
82	-100	-100
83	27.8	32.75
84	-100	-100
85	-100	-100
86	10	10
87	-100	-100
88	0	0
89	-100	-100
90	9	9
91	-100	-100
92	34.5	34.5
93	26.4	30
94	-100	-100
95	-100	-100
96	-100	-100
97	8	8
98	16	16
99	0	0
100	-100	-100
101	-100	-100
102	16.0666666666667	25.1666666666667
103	-100	-100
104	11	11
105	6	7.5
106	-100	-100
107	-100	-100
108	-100	-100
109	-100	-100
110	-100	-100
111	-100	-100
112	-100	-100
113	-100	-100
114	-100	-100
115	-100	-100
116	3.32	8.3
117	39.8571428571429	40.2857142857143
118	14.6	21.5
119	-100	-100
120	37.8	39
121	7.46666666666667	18.6666666666667
122	0	0
123	9	9
124	0	0
125	-100	-100
126	10	10
127	-100	-100
128	36.5	36.5
129	-100	-100
130	13.6947368421053	17.7368421052632
131	-100	-100
132	24.1789473684211	24.4473684210526
133	4	4
134	40	40
135	-100	-100
136	27	30
137	21.5	22.25
138	26	26
139	2.4	6
140	-100	-100
141	0	0
142	38	38
143	-100	-100
144	4.1	7.86111111111111
145	-100	-100
146	-100	-100
147	0	0
148	12.8	24
149	0	5.16666666666667
150	0.8	2
151	-100	-100
152	0.333333333333333	0.833333333333333
153	0	0
154	0	0
155	-100	-100
156	14.4	24
157	-100	-100
158	11.4	14.8333333333333
159	9	9
160	27	31.5
161	1.6	3.33333333333333
162	0	0
163	7	7
164	0	0
165	0	0
166	17	17
167	38.5	38.5
168	-100	-100
169	-100	-100
170	2	9.44444444444444
171	9	9
172	-100	-100
173	2.8	4.27777777777778
174	-100	-100
175	2.16666666666667	3.94444444444444
176	2	5
177	40	40
178	1.75	1.75
179	6.25833333333333	7.14583333333333
180	-100	-100
181	1.4	4.16666666666667
182	20	20
183	14.4	24
184	0	0
185	1.6	4
186	-100	-100
187	15.9	18.375
188	5.35	9.41666666666667
189	0	0
190	19	19
191	4.31692307692308	5.37765567765568
192	-100	-100
193	9	9
194	-100	-100
195	-100	-100
196	9.24	12.6
197	0	0
