MGH60-P6-A11	MGH60-P6-B01	MGH97-P8-H02	MGH97-P8-H03
0.0	18.0	0.0	0.0
1.0	19.0	0.0	0.0
2.0	20.0	0.0	0.0
3.0	21.0	0.0	0.0
4.0	22.0	0.0	0.0
5.0	23.0	0.0	0.0
6.0	24.0	0.0	0.0
7.0	25.0	0.0	0.0
8.0	26.0	0.0	0.0
9.0	27.0	0.0	0.0
10.0	28.0	0.0	0.0
11.0	29.0	0.0	0.0
12.0	30.0	0.0	0.0
13.0	31.0	0.0	0.0
14.0	32.0	0.0	0.0
15.0	33.0	0.0	0.0
16.0	34.0	0.0	0.0
17.0	35.0	0.0	0.0
9.0	36.0	0.0	0.0
10.0	37.0	0.0	0.0
11.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0
13.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
15.0	0.0	0.0	0.0
16.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0
13.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
15.0	0.0	0.0	0.0
16.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0
18.0	0.0	0.0	0.0
19.0	0.0	0.0	0.0
20.0	0.0	0.0	0.0
21.0	0.0	0.0	0.0
22.0	0.0	0.0	0.0
15.5	0.0	0.0	0.0
16.5	0.0	0.0	0.0
17.5	0.0	0.0	0.0
18.5	0.0	0.0	0.0
19.5	0.0	0.0	0.0
20.5	0.0	0.0	0.0
21.5	0.0	0.0	0.0
22.5	0.0	0.0	0.0
23.5	0.0	0.0	0.0
24.5	0.0	0.0	0.0
25.5	0.0	0.0	0.0
26.5	0.0	0.0	0.0
27.5	0.0	0.0	0.0
28.5	0.0	0.0	0.0
19.667	0.0	0.0	0.0
20.667	1.0	0.0	0.0
21.667	2.0	0.0	0.0
22.667	3.0	0.0	0.0
16.5	4.0	0.0	0.0
17.5	5.0	0.0	0.0
18.5	6.0	0.0	0.0
19.5	7.0	0.0	0.0
13.667	8.0	0.0	0.0
14.667	9.0	0.0	0.0
11.75	10.0	0.0	0.0
12.75	11.0	0.0	0.0
13.75	12.0	0.0	0.0
7.0	13.0	0.0	0.0
8.0	14.0	0.0	0.0
9.0	15.0	0.0	0.0
10.0	16.0	0.0	0.0
11.0	17.0	0.0	0.0
12.0	18.0	0.0	0.0
13.0	19.0	0.0	0.0
10.5	20.0	0.0	0.0
11.5	21.0	0.0	0.0
12.5	22.0	0.0	0.0
13.5	23.0	0.0	0.0
14.5	24.0	0.0	0.0
15.5	12.5	0.0	0.0
16.5	13.5	0.0	0.0
17.5	14.5	0.0	0.0
18.5	15.5	0.0	0.0
19.5	16.5	0.0	0.0
20.5	17.5	0.0	0.0
17.2	18.5	0.0	0.0
18.2	19.5	0.0	0.0
19.2	20.5	0.0	0.0
20.2	21.5	0.0	0.0
21.2	22.5	0.0	0.0
22.2	23.5	0.0	0.0
23.2	24.5	0.0	0.0
16.6	13.0	0.0	0.0
17.6	14.0	0.0	0.0
18.6	15.0	0.0	0.0
19.6	16.0	0.0	0.0
20.6	17.0	0.0	0.0
21.6	18.0	0.0	0.0
22.6	19.0	0.0	0.0
23.6	20.0	0.0	0.0
21.25	21.0	0.0	0.0
22.25	22.0	0.0	0.0
18.333	23.0	0.0	0.0
